activity_id|activity_content
1|Rufe einen Freund an und frage, wie es ihm geht
2|Schreibe eine kurze Nachricht an jemanden, den du lange nicht mehr gesprochen hast
3|Lächle einen Fremden an und wünsche ihm einen schönen Tag
4|Gehe mit einem Freund zum Mittagessen in die Kantine
5|Sende eine Postkarte an ein Familienmitglied
6|Teile einen interessanten Artikel mit einem Freund
7|Mache einen kurzen Spaziergang und grüße Nachbarn
8|Lese ein Buch und erzähle jemandem von der Handlung
9|Schreibe einen kurzen Brief an einen alten Freund
10|Verabrede dich mit einem Kollegen zum Mittagsspaziergang
11|Nimm an einem kurzen Gespräch in der Kaffeeküche teil
12|Mache ein Kompliment zu einem Kleidungsstück eines Kollegen
13|Finde einen Podcast und empfehle ihn einem Freund
14|Schicke einem Freund ein lustiges Meme
15|Unterhalte dich kurz mit einem Nachbarn beim Einkaufen
16|Lade jemanden zu einem kurzen Kaffee ein, wenn du unterwegs bist
17|Mache ein kurzes Gespräch mit jemandem in der Warteschlange
18|Frage einen Kollegen nach seinem Wochenende
19|Höre jemandem aktiv zu, während er erzählt
20|Teile deine Lieblingsmusik mit einem Freund
21|Schicke einem Freund ein Bild von einem schönen Sonnenuntergang
22|Lade jemandem ein, bei einem kleinen Hobby zu helfen
23|Mache einen kleinen Scherz mit einem Kollegen
24|Frage eine Person nach ihrem Lieblingsbuch
25|Organisiere einen kleinen Leseclub im Büro
26|Schreibe einem Freund eine Nachricht über einen gemeinsamen Film
27|Lade jemanden ein, deinen neuen Lieblingskaffee zu probieren
28|Erzähle einem Freund von einem neuen Rezept, das du ausprobiert hast
29|Nimm an einer Online-Diskussion zu einem Thema teil
30|Beobachte die Natur und erzähle jemandem von deiner Beobachtung
31|Höre aktiv zu, wenn jemand über seine Hobbys spricht
32|Geh mit einem Kollegen zu einem kurzen Spaziergang in der Mittagspause
33|Lese einen Artikel und sprich mit jemandem darüber
34|Frage einen Freund nach seinen Plänen für das Wochenende
35|Mache einem Kollegen ein Kompliment für seine Arbeit
36|Teile ein schönes Zitat in einem Gespräch
37|Schreibe einen kleinen Artikel für ein Online-Forum
38|Verabrede dich mit einem Freund zu einem schnellen Spaziergang
39|Frage einen Bekannten nach einem neuen Restaurant, das er besucht hat
40|Nimm an einer kurzen Online-Veranstaltung teil
41|Berichte einem Freund von deinen neuesten Erkenntnissen aus einem Buch
42|Gehe mit einem Freund in die Stadt und entdecke Neues
43|Teile ein interessantes Foto auf Social Media
44|Mache einen kleinen Ausflug in die Natur und erzähle einem Freund davon
45|Schicke einem Kollegen ein lustiges GIF
46|Sende einer Gruppe von Freunden ein Update über dein Leben
47|Teile eine interessante Nachricht mit jemandem
48|Sprich mit einem Bekannten über eure nächsten Reisen
49|Frage einen Freund nach seinem Lieblingsreiseziel
50|Lese eine Zeitschrift und teile einen Artikel mit jemandem
51|Frage jemanden nach seinen Lieblingsfilmen
52|Geh mit einem Freund in die Stadt und erkunde lokale Geschäfte
53|Besuche einen kleinen Park und erzähle einem Freund davon
54|Sende einer Gruppe von Freunden ein nettes Bild
55|Frage einen Kollegen nach seinem Lieblingsessen
56|Mache einen kurzen Spaziergang und genieße die frische Luft
57|Teile ein cooles Video mit jemandem
58|Nimm an einer Diskussion in einem Online-Forum teil
59|Frage einen Freund nach seinem Lieblingssong
60|Lese ein Buch und teile deine Gedanken mit jemandem
61|Mache einen kurzen Fotowalk in deiner Umgebung
62|Frage jemanden nach seinen Hobbys
63|Teile einen interessanten Fakt mit einem Freund
64|Erzähle einem Kollegen von einer neuen Serie, die du schaust
65|Sende einem Freund ein Bild von deinem Lieblingsplatz
66|Frage jemanden, was er am Wochenende gemacht hat
67|Berichte einem Bekannten von deinem letzten Abenteuer
68|Lade einen Freund ein, an einer Online-Veranstaltung teilzunehmen
69|Frage einen Kollegen nach seinen Lieblingsbüchern
70|Sende jemandem einen witzigen Clip
71|Teile deine Meinung zu einem aktuellen Thema in einer Gruppe
72|Frage jemanden nach seinen Plänen für die nächsten Feiertage
73|Schreibe einem Freund über einen gemeinsamen Traum
74|Verabrede dich mit einem Kollegen zu einem Mittagessen
75|Berichte einem Freund von einem interessanten Gespräch
76|Teile deine Gedanken zu einem aktuellen Film mit jemandem
77|Sende einem Freund ein Bild von deinem Mittagessen
78|Geh mit einem Freund zum Spazieren im Park
79|Erzähle einem Kollegen von deinem letzten Ausflug
80|Frage jemanden, was er an seinem Job mag
81|Teile eine interessante Studie mit jemandem
82|Lade einen Freund zu einem kurzen Besuch ein
83|Sende jemandem ein Bild von einem schönen Sonnenuntergang
84|Berichte einem Bekannten über dein Lieblingsrezept
85|Frage einen Freund nach seinem Lieblingssport
86|Sprich mit einem Kollegen über ein gemeinsames Interesse
87|Teile deine Gedanken über ein Buch mit jemandem
88|Frage jemanden, was er in seiner Freizeit macht
89|Geh mit einem Freund in einen neuen Park
90|Teile einen interessanten Link mit einem Bekannten
91|Lade jemanden ein, ein neues Hobby auszuprobieren
92|Mache einen kurzen Spaziergang in der Nachbarschaft
93|Frage einen Freund, welches Gericht er am liebsten kocht
94|Teile deine Erlebnisse mit einem Bekannten
95|Frage einen Kollegen nach seinem nächsten Projekt
96|Berichte einem Freund von einem neuen Restaurant, das du entdeckt hast
97|Geh mit einem Freund ins Kino
98|Lese einen Artikel und sprich mit jemandem darüber
99|Frage jemanden nach seinem Lieblingsplatz in der Stadt
100|Teile deine Gedanken über einen aktuellen Trend mit jemandem
101|Mache einen kurzen Besuch im örtlichen Museum
102|Frage einen Bekannten nach seinem Lieblingssportteam
103|Berichte einem Freund von einem interessanten Podcast
104|Teile ein inspirierendes Zitat in einem Gespräch
105|Frage jemanden nach seinen Lieblingsliedern
106|Mache einen kurzen Spaziergang und genieße die Natur
107|Sende einem Freund ein Bild von deinem Lieblingsessen
108|Frage einen Kollegen nach seinem Lieblingsbuch
109|Berichte einem Freund von einem neuen Hobby
110|Teile deine Gedanken zu einem aktuellen Thema
111|Nimm an einer Online-Veranstaltung teil und erzähle einem Freund davon
112|Frage jemanden nach seinen Plänen für die nächste Woche
113|Mache ein kurzes Gespräch mit jemandem beim Einkaufen
114|Teile deine Gedanken über ein aktuelles Ereignis
115|Frage einen Freund, was er für nächste Woche geplant hat
116|Berichte einem Bekannten von deiner letzten Reise
117|Nimm an einem kurzen Webinar teil und erzähle jemandem davon
118|Mache einen kurzen Besuch bei einem Freund
119|Frage jemanden nach seinem Lieblingsessen
120|Teile deine Gedanken über einen Film mit einem Freund
121|Geh mit einem Kollegen in ein nahegelegenes Café
122|Berichte einem Freund über einen interessanten Artikel
123|Teile deine Lieblingsrezepte mit jemandem
124|Frage jemanden nach seinem Lieblingslied
125|Mache einen kurzen Spaziergang in der Nachbarschaft
126|Teile deine Gedanken über ein Buch mit einem Freund
127|Geh mit einem Bekannten in den Park
128|Frage jemanden nach seinen Plänen für das Wochenende
129|Berichte einem Freund von einem interessanten Hobby
130|Teile deine Erlebnisse in der Natur mit jemandem
131|Mache einen kurzen Besuch bei einem Nachbarn
132|Frage jemanden nach seinem Lieblingsfilm
133|Teile deine Gedanken über aktuelle Trends mit jemandem
