activity_id,activity_content
1,Mache 10 Minuten lang Dehnübungen in deinem Wohnzimmer
2,Gehe 15 Minuten um den Block spazieren
3,Mache 20 Kniebeugen in deinem Zimmer
4,Mache 10 Liegestütze
5,Jogge 5 Minuten auf der Stelle
6,Mache 5 Minuten lang Atemübungen
7,Gehe die Treppen anstatt den Aufzug zu nehmen
8,Tanze 10 Minuten zu deiner Lieblingsmusik
9,Führe eine Yoga-Übung durch
10,Mache 30 Sekunden Planking
11,Versuche 10 Minuten lang balanciert auf einem Bein zu stehen
12,Mache 3 Sätze á 10 Wiederholungen von Hampelmännern
13,Gehe rückwärts durch dein Zuhause für 5 Minuten
14,Führe 15 Ausfallschritte in deinem Wohnzimmer durch
15,Mache 3 Minuten lang Boxbewegungen in der Luft
16,Strecke deine Arme in alle Richtungen für 2 Minuten
17,Hüpfe 1 Minute lang auf einem Bein
18,Mache 20 Sekunden lang Wall-Sit-Übungen
19,Mache 5 Minuten lang Bauchmuskelübungen
20,Gehe für 10 Minuten in einem schnellen Tempo spazieren
21,Führe 10 Minuten lang Tai-Chi-Bewegungen durch
22,Mache 15 Minuten lang entspannende Atemübungen
23,Stehe 10 Minuten lang auf Zehenspitzen
24,Mache 10 Minuten lang Streckübungen für den Rücken
25,Führe 20 Burpees durch
26,Stehe 5 Minuten lang im Baum-Yoga-Stand
27,Mache 5 Minuten lang Meditation im Sitzen
28,Übe 3 Minuten lang Armkreisen in beide Richtungen
29,Führe 3 Minuten lang Schattenboxen aus
30,Mache 15 Minuten lang entspannte Dehnübungen
31,Gehe eine Strecke von 1 Kilometer ohne Pause
32,Mache 15 Liegestütze auf den Knien
33,Dehne deine Beinmuskeln für 3 Minuten
34,Hüpfe 20 Mal über ein imaginäres Seil
35,Versuche für 2 Minuten deine Augen zu schließen und die Balance zu halten
36,Mache 10 Minuten lang Tai-Chi-Bewegungen
37,Mache 3 Sätze á 10 Wiederholungen von Kniebeugen
38,Jogge 3 Minuten lang auf der Stelle
39,Dehne deine Arme und Beine in alle Richtungen
40,Mache 5 Minuten lang Lockerungsübungen
41,Gehe in die Hocke und halte die Position für 1 Minute
42,Versuche 20 Sekunden lang zu schweben wie ein Superheld
43,Tanze zu einem schnellen Lied für 5 Minuten
44,Mache 10 Minuten lang Walking Lunges in deiner Wohnung
45,Führe 3 Minuten lang Schrittkombinationen durch
46,Mache 2 Minuten lang Arme auf und ab strecken
47,Führe 10 Wiederholungen von Jump Squats durch
48,Mache 2 Minuten lang eine imaginäre Fahrradbewegung
49,Mache 15 Wiederholungen von Mountain Climbers
50,Versuche für 1 Minute auf Händen und Knien zu krabbeln
51,Mache 20 Wiederholungen von Side Lunges
52,Spanne deinen Bauch an und halte für 20 Sekunden
53,Führe eine Minute lang Jumping Jacks durch
54,Mache 10 Minuten lang sanfte Hüftdehnübungen
55,Führe 10 Minuten lang Stretching für Nacken und Schultern durch
56,Gehe 5 Minuten barfuß auf verschiedenen Oberflächen
57,Hüpfe 2 Minuten lang abwechselnd auf beiden Füßen
58,Versuche für 1 Minute deine Zehen zu berühren
59,Gehe langsam rückwärts eine Minute lang
60,Mache 3 Sätze á 15 Sekunden Superman-Übung
61,Führe 3 Minuten lang Kickbewegungen durch
62,Spanne deinen gesamten Körper für 5 Sekunden an und lasse locker
63,Führe 2 Minuten lang sanfte Drehungen der Wirbelsäule durch
64,Mache 3 Minuten lang Arm-Stretching-Übungen
65,Führe 2 Minuten lang Knie-Heber-Bewegungen durch
66,Mache 10 Minuten lang sanfte Dehnübungen für den Rücken
67,Stehe in der Brücke für 30 Sekunden
68,Versuche 2 Minuten auf einem Stuhl aufrecht zu sitzen und die Haltung zu halten
69,Hüpfe für 1 Minute in kleinen Sprüngen auf der Stelle
70,Mache 15 Minuten sanfte Yoga-Dehnübungen
71,Führe 5 Minuten lang eine Katzen-Kuh-Yoga-Position durch
72,Führe 10 Wiederholungen von High-Knees durch
73,Mache 5 Minuten lang eine leichte Schultermassage
74,Gehe für 10 Minuten in einem langsameren Tempo spazieren
75,Führe 3 Minuten lang Fingerstreckübungen durch
76,Stehe für 2 Minuten auf einem Bein und mache Augen zu
77,Führe 15 Wiederholungen von Armkreisen in jede Richtung durch
78,Mache 2 Minuten lang einfache Dehnungen für die Oberschenkel
79,Führe 2 Minuten lang sanfte Nackendehnübungen durch
80,Mache 15 Minuten sanfte Atemübungen
81,Spanne 10 Sekunden lang die Bauchmuskeln an und entspanne dich
82,Gehe für 5 Minuten Treppen auf und ab
83,Führe 3 Minuten lang sanfte Hüftrotationen durch
84,Mache 2 Minuten lang Seitenbeugen
